Doc_name	Precision	Recall
CACM-2714	0.0		0.0
CACM-0950	0.0		0.0
CACM-2785	0.0		0.0
CACM-2973	0.0		0.0
CACM-2266	0.0		0.0
CACM-2664	0.0		0.0
CACM-1262	0.0		0.0
CACM-2433	0.0		0.0
CACM-2700	0.0		0.0
CACM-3075	0.0		0.0
CACM-2685	0.0		0.0
CACM-1811	0.0		0.0
CACM-2401	0.0		0.0
CACM-1828	0.0		0.0
CACM-0141	0.0		0.0
CACM-0392	0.0		0.0
CACM-2557	0.0		0.0
CACM-1302	0.0		0.0
CACM-2896	0.0		0.0
CACM-3059	0.0		0.0
CACM-1795	0.0		0.0
CACM-2660	0.0		0.0
CACM-2895	0.0		0.0
CACM-2342	0.0		0.0
CACM-1367	0.0		0.0
CACM-0046	0.0		0.0
CACM-2175	0.0		0.0
CACM-1569	0.0		0.0
CACM-2865	0.0		0.0
CACM-1158	0.0		0.0
CACM-2195	0.0		0.0
CACM-1846	0.0		0.0
CACM-2182	0.0		0.0
CACM-1601	0.0		0.0
CACM-2851	0.0		0.0
CACM-2952	0.0		0.0
CACM-3194	0.0		0.0
CACM-2838	0.0		0.0
CACM-2311	0.0		0.0
CACM-1613	0.025		0.167
CACM-3156	0.024		0.167
CACM-1008	0.024		0.167
CACM-3175	0.023		0.167
CACM-2289	0.023		0.167
CACM-2727	0.022		0.167
CACM-3044	0.022		0.167
CACM-2114	0.021		0.167
CACM-1554	0.021		0.167
CACM-2514	0.02		0.167
CACM-2515	0.02		0.167
CACM-1747	0.02		0.167
CACM-1536	0.019		0.167
CACM-0320	0.019		0.167
CACM-1854	0.019		0.167
CACM-1957	0.018		0.167
CACM-1325	0.018		0.167
CACM-1603	0.018		0.167
CACM-2570	0.017		0.167
CACM-1200	0.017		0.167
CACM-3120	0.017		0.167
CACM-2898	0.016		0.167
CACM-1409	0.016		0.167
CACM-2967	0.016		0.167
CACM-1960	0.016		0.167
CACM-2080	0.015		0.167
CACM-2376	0.015		0.167
CACM-1928	0.015		0.167
CACM-2497	0.015		0.167
CACM-1468	0.014		0.167
CACM-1471	0.014		0.167
CACM-2740	0.014		0.167
CACM-3073	0.014		0.167
CACM-1380	0.014		0.167
CACM-2723	0.014		0.167
CACM-2060	0.013		0.167
CACM-2283	0.013		0.167
CACM-2090	0.013		0.167
CACM-2146	0.013		0.167
CACM-2767	0.013		0.167
CACM-2430	0.013		0.167
CACM-2520	0.012		0.167
CACM-0199	0.012		0.167
CACM-2903	0.012		0.167
CACM-2030	0.012		0.167
CACM-2490	0.012		0.167
CACM-2509	0.012		0.167
CACM-1559	0.011		0.167
CACM-1560	0.011		0.167
CACM-2510	0.011		0.167
CACM-0371	0.011		0.167
CACM-2209	0.011		0.167
CACM-2366	0.011		0.167
CACM-2769	0.011		0.167
CACM-1961	0.011		0.167
CACM-2226	0.011		0.167
CACM-1863	0.01		0.167
CACM-2472	0.01		0.167
CACM-1539	0.01		0.167
CACM-2223	0.01		0.167
CACM-2701	0.01		0.167
