Doc_name	Precision	Recall
CACM-1811	0.0	0.0
CACM-2967	0.0	0.0
CACM-2973	0.0	0.0
CACM-2714	0.0	0.0
CACM-3075	0.0	0.0
CACM-2664	0.0	0.0
CACM-2114	0.0	0.0
CACM-2175	0.0	0.0
CACM-0891	0.0	0.0
CACM-3156	0.0	0.0
CACM-1699	0.0	0.0
CACM-1457	0.0	0.0
CACM-2288	0.0	0.0
CACM-2278	0.0	0.0
CACM-1681	0.0	0.0
CACM-1032	0.0	0.0
CACM-1830	0.0	0.0
CACM-3134	0.0	0.0
CACM-2497	0.0	0.0
CACM-2307	0.0	0.0
CACM-0651	0.0	0.0
CACM-2070	0.0	0.0
CACM-0275	0.0	0.0
CACM-1927	0.0	0.0
CACM-1613	0.0	0.0
CACM-2990	0.0	0.0
CACM-0634	0.0	0.0
CACM-0292	0.0	0.0
CACM-3169	0.0	0.0
CACM-1935	0.0	0.0
CACM-2631	0.0	0.0
CACM-3168	0.0	0.0
CACM-2838	0.0	0.0
CACM-1236	0.0	0.0
CACM-2519	0.0	0.0
CACM-1937	0.0	0.0
CACM-0657	0.0	0.0
CACM-2516	0.0	0.0
CACM-1846	0.0	0.0
CACM-2570	0.0	0.0
CACM-1514	0.0	0.0
CACM-1725	0.0	0.0
CACM-2532	0.0	0.0
CACM-2561	0.0	0.0
CACM-2455	0.0	0.0
CACM-1831	0.0	0.0
CACM-2723	0.0	0.0
CACM-2160	0.0	0.0
CACM-1652	0.0	0.0
CACM-2947	0.0	0.0
CACM-2311	0.0	0.0
CACM-2781	0.0	0.0
CACM-2882	0.0	0.0
CACM-2865	0.019	0.036
CACM-2645	0.018	0.036
CACM-1627	0.018	0.036
CACM-2484	0.018	0.036
CACM-1262	0.017	0.036
CACM-1929	0.017	0.036
CACM-1675	0.017	0.036
CACM-2711	0.016	0.036
CACM-1680	0.016	0.036
CACM-0950	0.016	0.036
CACM-1742	0.016	0.036
CACM-3012	0.015	0.036
CACM-2785	0.015	0.036
CACM-1359	0.015	0.036
CACM-2139	0.015	0.036
CACM-1108	0.014	0.036
CACM-1665	0.014	0.036
CACM-2493	0.014	0.036
CACM-2700	0.028	0.071
CACM-2685	0.041	0.107
CACM-2433	0.041	0.107
CACM-1825	0.04	0.107
CACM-2722	0.039	0.107
CACM-1828	0.039	0.107
CACM-1976	0.038	0.107
CACM-2832	0.038	0.107
CACM-2202	0.037	0.107
CACM-1194	0.037	0.107
CACM-3120	0.037	0.107
CACM-2623	0.036	0.107
CACM-2896	0.036	0.107
CACM-1456	0.035	0.107
CACM-1527	0.035	0.107
CACM-2258	0.034	0.107
CACM-3059	0.034	0.107
CACM-0409	0.034	0.107
CACM-2266	0.033	0.107
CACM-1988	0.033	0.107
CACM-2128	0.033	0.107
CACM-1700	0.032	0.107
CACM-2140	0.032	0.107
CACM-2795	0.032	0.107
CACM-2895	0.042	0.143
CACM-1409	0.041	0.143
CACM-0141	0.041	0.143
CACM-2401	0.04	0.143
CACM-1367	0.04	0.143
