Doc_name	Precision	Recall
CACM-2035	1.0	0.125
CACM-1829	0.5	0.125
CACM-2321	0.333	0.125
CACM-2003	0.25	0.125
CACM-1742	0.2	0.125
CACM-1698	0.167	0.125
CACM-2299	0.286	0.25
CACM-2145	0.25	0.25
CACM-3147	0.222	0.25
CACM-1699	0.2	0.25
CACM-1605	0.182	0.25
CACM-1409	0.167	0.25
CACM-2542	0.154	0.25
CACM-1435	0.143	0.25
CACM-3102	0.133	0.25
CACM-2786	0.125	0.25
CACM-1978	0.118	0.25
CACM-2812	0.111	0.25
CACM-2873	0.105	0.25
CACM-1671	0.1	0.25
CACM-1764	0.095	0.25
CACM-2522	0.091	0.25
CACM-2105	0.087	0.25
CACM-0251	0.083	0.25
CACM-1750	0.08	0.25
CACM-2357	0.077	0.25
CACM-1937	0.074	0.25
CACM-1534	0.071	0.25
CACM-1960	0.069	0.25
CACM-2841	0.067	0.25
CACM-3012	0.065	0.25
CACM-3137	0.062	0.25
CACM-2247	0.061	0.25
CACM-2957	0.059	0.25
CACM-2753	0.057	0.25
CACM-2322	0.056	0.25
CACM-3050	0.054	0.25
CACM-2067	0.053	0.25
CACM-2106	0.051	0.25
CACM-2887	0.05	0.25
CACM-2188	0.049	0.25
CACM-1188	0.048	0.25
CACM-3146	0.047	0.25
CACM-2860	0.045	0.25
CACM-1923	0.044	0.25
CACM-2078	0.043	0.25
CACM-1747	0.043	0.25
CACM-2469	0.042	0.25
CACM-1159	0.041	0.25
CACM-2820	0.06	0.375
CACM-2572	0.059	0.375
CACM-2314	0.058	0.375
CACM-2502	0.057	0.375
CACM-3174	0.056	0.375
CACM-1238	0.055	0.375
CACM-1392	0.054	0.375
CACM-1252	0.053	0.375
CACM-2169	0.052	0.375
CACM-2379	0.051	0.375
CACM-1571	0.05	0.375
CACM-2295	0.049	0.375
CACM-2629	0.048	0.375
CACM-2483	0.048	0.375
CACM-1408	0.047	0.375
CACM-2267	0.046	0.375
CACM-2288	0.045	0.375
CACM-2647	0.045	0.375
CACM-2541	0.044	0.375
CACM-2451	0.043	0.375
CACM-1629	0.043	0.375
CACM-2484	0.042	0.375
CACM-2433	0.042	0.375
CACM-2138	0.041	0.375
CACM-1433	0.041	0.375
CACM-2849	0.04	0.375
CACM-3023	0.039	0.375
CACM-1835	0.039	0.375
CACM-2622	0.038	0.375
CACM-2514	0.038	0.375
CACM-2771	0.037	0.375
CACM-2181	0.037	0.375
CACM-2947	0.037	0.375
CACM-2389	0.036	0.375
CACM-1810	0.036	0.375
CACM-1502	0.047	0.5
CACM-1962	0.047	0.5
CACM-1853	0.046	0.5
CACM-2718	0.045	0.5
CACM-2230	0.045	0.5
CACM-2978	0.044	0.5
CACM-2948	0.044	0.5
CACM-0046	0.043	0.5
CACM-0173	0.043	0.5
CACM-0606	0.043	0.5
CACM-2439	0.042	0.5
CACM-0063	0.042	0.5
CACM-2868	0.041	0.5
CACM-1503	0.041	0.5
CACM-1528	0.04	0.5
CACM-1724	0.04	0.5
