Doc_name	Precision	Recall
CACM-2973	1.0		0.083
CACM-2266	1.0		0.167
CACM-3075	1.0		0.25
CACM-2289	1.0		0.333
CACM-0950	0.8		0.333
CACM-3156	0.833		0.417
CACM-2557	0.857		0.5
CACM-2570	0.75		0.5
CACM-2433	0.667		0.5
CACM-2700	0.6		0.5
CACM-2785	0.545		0.5
CACM-2714	0.583		0.583
CACM-1601	0.615		0.667
CACM-2896	0.571		0.667
CACM-1795	0.6		0.75
CACM-1262	0.562		0.75
CACM-3059	0.529		0.75
CACM-2114	0.5		0.75
CACM-2838	0.474		0.75
CACM-2685	0.45		0.75
CACM-2884	0.429		0.75
CACM-2692	0.409		0.75
CACM-2342	0.391		0.75
CACM-2895	0.375		0.75
CACM-1158	0.36		0.75
CACM-2851	0.346		0.75
CACM-2195	0.333		0.75
CACM-1468	0.321		0.75
CACM-2401	0.31		0.75
CACM-0141	0.3		0.75
CACM-1302	0.29		0.75
CACM-0392	0.281		0.75
CACM-1846	0.273		0.75
CACM-3061	0.265		0.75
CACM-3166	0.257		0.75
CACM-1828	0.25		0.75
CACM-1957	0.243		0.75
CACM-2283	0.237		0.75
CACM-2175	0.231		0.75
CACM-2898	0.225		0.75
CACM-1569	0.22		0.75
CACM-2767	0.214		0.75
CACM-1536	0.209		0.75
CACM-0320	0.205		0.75
CACM-2490	0.2		0.75
CACM-2337	0.196		0.75
CACM-2865	0.191		0.75
CACM-2324	0.188		0.75
CACM-3131	0.184		0.75
CACM-2630	0.18		0.75
CACM-1747	0.176		0.75
CACM-2740	0.173		0.75
CACM-2263	0.17		0.75
CACM-2325	0.167		0.75
CACM-2402	0.164		0.75
CACM-2950	0.161		0.75
CACM-3073	0.158		0.75
CACM-2182	0.155		0.75
CACM-3086	0.153		0.75
CACM-2226	0.15		0.75
CACM-0371	0.148		0.75
CACM-1411	0.145		0.75
CACM-1658	0.143		0.75
CACM-2903	0.141		0.75
CACM-3132	0.138		0.75
CACM-1171	0.136		0.75
CACM-2679	0.134		0.75
CACM-2627	0.132		0.75
CACM-2819	0.13		0.75
CACM-3044	0.129		0.75
CACM-1796	0.127		0.75
CACM-1008	0.125		0.75
CACM-2514	0.123		0.75
CACM-2146	0.122		0.75
CACM-0409	0.12		0.75
CACM-1554	0.118		0.75
CACM-2727	0.117		0.75
CACM-1873	0.115		0.75
CACM-1551	0.114		0.75
CACM-1341	0.113		0.75
CACM-3124	0.111		0.75
CACM-2932	0.11		0.75
CACM-2837	0.108		0.75
CACM-2080	0.107		0.75
CACM-2306	0.106		0.75
CACM-2030	0.105		0.75
CACM-1924	0.103		0.75
CACM-2997	0.102		0.75
CACM-2936	0.101		0.75
CACM-2276	0.1		0.75
CACM-1529	0.099		0.75
CACM-2674	0.098		0.75
CACM-3175	0.097		0.75
CACM-2902	0.096		0.75
CACM-2135	0.095		0.75
CACM-2273	0.094		0.75
CACM-2007	0.093		0.75
CACM-2904	0.092		0.75
CACM-2272	0.091		0.75
CACM-3006	0.09		0.75
