Doc_name	Precision	Recall
CACM-0020	0.0		0.0
CACM-1410	0.0		0.0
CACM-1194	0.0		0.0
CACM-0942	0.0		0.0
CACM-1696	0.2		0.077
CACM-3120	0.167		0.077
CACM-0268	0.143		0.077
CACM-2882	0.125		0.077
CACM-1540	0.111		0.077
CACM-1435	0.1		0.077
CACM-2931	0.091		0.077
CACM-2742	0.083		0.077
CACM-1235	0.077		0.077
CACM-2535	0.071		0.077
CACM-3043	0.067		0.077
CACM-0293	0.062		0.077
CACM-0927	0.059		0.077
CACM-2767	0.056		0.077
CACM-3141	0.053		0.077
CACM-1892	0.1		0.154
CACM-2342	0.095		0.154
CACM-2672	0.091		0.154
CACM-0412	0.087		0.154
CACM-2255	0.083		0.154
CACM-2504	0.08		0.154
CACM-2371	0.077		0.154
CACM-1438	0.074		0.154
CACM-1441	0.071		0.154
CACM-1563	0.069		0.154
CACM-0618	0.067		0.154
CACM-2740	0.065		0.154
CACM-1673	0.062		0.154
CACM-2409	0.061		0.154
CACM-3020	0.059		0.154
CACM-2320	0.057		0.154
CACM-2376	0.056		0.154
CACM-1110	0.054		0.154
CACM-1846	0.053		0.154
CACM-3078	0.077		0.231
CACM-1233	0.075		0.231
CACM-2705	0.073		0.231
CACM-0111	0.071		0.231
CACM-1382	0.07		0.231
CACM-1383	0.068		0.231
CACM-1631	0.067		0.231
CACM-2836	0.065		0.231
CACM-1008	0.064		0.231
CACM-2920	0.062		0.231
CACM-2378	0.061		0.231
CACM-1554	0.06		0.231
CACM-1748	0.059		0.231
CACM-2210	0.058		0.231
CACM-2953	0.057		0.231
CACM-0825	0.056		0.231
CACM-1272	0.055		0.231
CACM-3039	0.054		0.231
CACM-1886	0.053		0.231
CACM-1707	0.052		0.231
CACM-2900	0.051		0.231
CACM-1809	0.05		0.231
CACM-0095	0.049		0.231
CACM-2185	0.048		0.231
CACM-3128	0.048		0.231
CACM-2912	0.047		0.231
CACM-0298	0.046		0.231
CACM-2844	0.045		0.231
CACM-1753	0.045		0.231
CACM-2327	0.044		0.231
CACM-1135	0.043		0.231
CACM-2062	0.043		0.231
CACM-1587	0.042		0.231
CACM-2000	0.042		0.231
CACM-2019	0.041		0.231
CACM-2848	0.041		0.231
CACM-2555	0.04		0.231
CACM-2268	0.039		0.231
CACM-2228	0.039		0.231
CACM-1637	0.038		0.231
CACM-1199	0.038		0.231
CACM-0078	0.037		0.231
CACM-1180	0.037		0.231
CACM-2811	0.037		0.231
CACM-2523	0.036		0.231
CACM-1541	0.036		0.231
CACM-2895	0.035		0.231
CACM-2826	0.035		0.231
CACM-1948	0.034		0.231
CACM-1678	0.034		0.231
CACM-3013	0.034		0.231
CACM-3056	0.033		0.231
CACM-1216	0.033		0.231
CACM-1925	0.033		0.231
CACM-1359	0.032		0.231
CACM-2080	0.032		0.231
CACM-1911	0.032		0.231
CACM-2581	0.031		0.231
CACM-2903	0.031		0.231
CACM-2519	0.031		0.231
CACM-1625	0.03		0.231
CACM-3059	0.03		0.231
