Doc_name	Precision	Recall
CACM-2276	0.0		0.0
CACM-2969	0.0		0.0
CACM-3082	0.333		0.083
CACM-2406	0.25		0.083
CACM-2454	0.2		0.083
CACM-2004	0.167		0.083
CACM-2949	0.143		0.083
CACM-2914	0.125		0.083
CACM-2926	0.111		0.083
CACM-1733	0.1		0.083
CACM-3131	0.091		0.083
CACM-1778	0.083		0.083
CACM-0711	0.077		0.083
CACM-1941	0.071		0.083
CACM-0241	0.067		0.083
CACM-1072	0.062		0.083
CACM-0758	0.059		0.083
CACM-2081	0.056		0.083
CACM-1433	0.053		0.083
CACM-2481	0.05		0.083
CACM-2549	0.048		0.083
CACM-1918	0.045		0.083
CACM-2849	0.043		0.083
CACM-2123	0.042		0.083
CACM-1745	0.04		0.083
CACM-1584	0.038		0.083
CACM-2259	0.037		0.083
CACM-2261	0.036		0.083
CACM-2812	0.034		0.083
CACM-1714	0.033		0.083
CACM-2098	0.032		0.083
CACM-2427	0.031		0.083
CACM-2402	0.03		0.083
CACM-3137	0.029		0.083
CACM-2893	0.029		0.083
CACM-2090	0.028		0.083
CACM-3032	0.027		0.083
CACM-1951	0.026		0.083
CACM-2862	0.026		0.083
CACM-2936	0.025		0.083
CACM-3072	0.024		0.083
CACM-1081	0.024		0.083
CACM-1885	0.023		0.083
CACM-1153	0.023		0.083
CACM-3098	0.022		0.083
CACM-2816	0.022		0.083
CACM-3165	0.021		0.083
CACM-3148	0.021		0.083
CACM-2216	0.02		0.083
CACM-2798	0.02		0.083
CACM-2371	0.039		0.167
CACM-3151	0.038		0.167
CACM-1305	0.038		0.167
CACM-3154	0.037		0.167
CACM-3055	0.036		0.167
CACM-2954	0.036		0.167
CACM-1003	0.035		0.167
CACM-1844	0.034		0.167
CACM-2032	0.034		0.167
CACM-1894	0.033		0.167
CACM-2649	0.033		0.167
CACM-1716	0.032		0.167
CACM-1944	0.032		0.167
CACM-1583	0.031		0.167
CACM-3141	0.031		0.167
CACM-2313	0.03		0.167
CACM-2187	0.03		0.167
CACM-2686	0.029		0.167
CACM-2433	0.029		0.167
CACM-2767	0.029		0.167
CACM-2566	0.028		0.167
CACM-2078	0.028		0.167
CACM-2057	0.027		0.167
CACM-1780	0.027		0.167
CACM-0298	0.027		0.167
CACM-2924	0.026		0.167
CACM-2667	0.026		0.167
CACM-2114	0.026		0.167
CACM-0320	0.025		0.167
CACM-2565	0.025		0.167
CACM-1381	0.025		0.167
CACM-2490	0.024		0.167
CACM-2670	0.024		0.167
CACM-0371	0.024		0.167
CACM-2847	0.024		0.167
CACM-3139	0.023		0.167
CACM-2249	0.023		0.167
CACM-1341	0.023		0.167
CACM-2780	0.022		0.167
CACM-2337	0.022		0.167
CACM-1157	0.022		0.167
CACM-1920	0.022		0.167
CACM-2333	0.022		0.167
CACM-2548	0.021		0.167
CACM-1658	0.021		0.167
CACM-2832	0.021		0.167
CACM-2967	0.021		0.167
CACM-1604	0.02		0.167
CACM-1114	0.02		0.167
CACM-1409	0.02		0.167
