Doc_name	Precision	Recall
CACM-1745	0.0		0.0
CACM-3148	0.5		0.25
CACM-2081	0.333		0.25
CACM-3137	0.5		0.5
CACM-2849	0.6		0.75
CACM-2276	0.5		0.75
CACM-2406	0.429		0.75
CACM-2832	0.375		0.75
CACM-2433	0.333		0.75
CACM-3025	0.3		0.75
CACM-3141	0.273		0.75
CACM-1411	0.25		0.75
CACM-3124	0.231		0.75
CACM-2890	0.214		0.75
CACM-1873	0.2		0.75
CACM-2999	0.188		0.75
CACM-2169	0.176		0.75
CACM-2216	0.167		0.75
CACM-2130	0.158		0.75
CACM-2630	0.15		0.75
CACM-2834	0.143		0.75
CACM-2454	0.136		0.75
CACM-2949	0.13		0.75
CACM-2092	0.125		0.75
CACM-3166	0.12		0.75
CACM-3043	0.115		0.75
CACM-2484	0.111		0.75
CACM-2883	0.107		0.75
CACM-3086	0.103		0.75
CACM-2114	0.1		0.75
CACM-0371	0.097		0.75
CACM-3032	0.094		0.75
CACM-3082	0.091		0.75
CACM-3037	0.088		0.75
CACM-1423	0.086		0.75
CACM-1862	0.083		0.75
CACM-2402	0.081		0.75
CACM-2766	0.079		0.75
CACM-3164	0.077		0.75
CACM-1810	0.075		0.75
CACM-2314	0.073		0.75
CACM-2756	0.071		0.75
CACM-2969	0.07		0.75
CACM-2963	0.068		0.75
CACM-1431	0.067		0.75
CACM-2197	0.065		0.75
CACM-2578	0.085		1.0
CACM-1153	0.083		1.0
CACM-1275	0.082		1.0
CACM-1224	0.08		1.0
CACM-2926	0.078		1.0
CACM-2810	0.077		1.0
CACM-3090	0.075		1.0
CACM-1946	0.074		1.0
CACM-2816	0.073		1.0
CACM-2373	0.071		1.0
CACM-2828	0.07		1.0
CACM-2357	0.069		1.0
CACM-1889	0.068		1.0
CACM-3165	0.067		1.0
CACM-2838	0.066		1.0
CACM-2709	0.065		1.0
CACM-2371	0.063		1.0
CACM-2615	0.062		1.0
CACM-3156	0.062		1.0
CACM-3011	0.061		1.0
CACM-0052	0.06		1.0
CACM-1525	0.059		1.0
CACM-1010	0.058		1.0
CACM-3128	0.057		1.0
CACM-3084	0.056		1.0
CACM-2283	0.056		1.0
CACM-1158	0.055		1.0
CACM-2822	0.054		1.0
CACM-3035	0.053		1.0
CACM-1780	0.053		1.0
CACM-2198	0.052		1.0
CACM-2780	0.051		1.0
CACM-0409	0.051		1.0
CACM-3058	0.05		1.0
CACM-2665	0.049		1.0
CACM-0111	0.049		1.0
CACM-2236	0.048		1.0
CACM-2900	0.048		1.0
CACM-2490	0.047		1.0
CACM-2950	0.047		1.0
CACM-1658	0.046		1.0
CACM-1457	0.045		1.0
CACM-2627	0.045		1.0
CACM-3158	0.044		1.0
CACM-1765	0.044		1.0
CACM-2389	0.043		1.0
CACM-2524	0.043		1.0
CACM-2833	0.043		1.0
CACM-1928	0.042		1.0
CACM-2311	0.042		1.0
CACM-0088	0.041		1.0
CACM-2272	0.041		1.0
CACM-1529	0.04		1.0
CACM-2997	0.04		1.0
