Doc_name	Precision	Recall
CACM-2940	0.0	0.0
CACM-2931	0.0	0.0
CACM-2651	0.333	0.083
CACM-2254	0.25	0.083
CACM-3105	0.2	0.083
CACM-3103	0.167	0.083
CACM-2265	0.286	0.167
CACM-2470	0.25	0.167
CACM-2078	0.222	0.167
CACM-1861	0.3	0.25
CACM-2956	0.273	0.25
CACM-2957	0.25	0.25
CACM-2082	0.231	0.25
CACM-2958	0.214	0.25
CACM-3031	0.267	0.333
CACM-2002	0.25	0.333
CACM-2705	0.235	0.333
CACM-0867	0.222	0.333
CACM-2939	0.263	0.417
CACM-2699	0.25	0.417
CACM-1470	0.238	0.417
CACM-2785	0.227	0.417
CACM-0527	0.217	0.417
CACM-1678	0.208	0.417
CACM-3101	0.2	0.417
CACM-1783	0.192	0.417
CACM-3142	0.185	0.417
CACM-2305	0.179	0.417
CACM-2051	0.172	0.417
CACM-2937	0.167	0.417
CACM-0630	0.161	0.417
CACM-2264	0.156	0.417
CACM-1911	0.152	0.417
CACM-2722	0.147	0.417
CACM-2794	0.143	0.417
CACM-2201	0.139	0.417
CACM-2138	0.135	0.417
CACM-1002	0.132	0.417
CACM-0595	0.128	0.417
CACM-1614	0.125	0.417
CACM-1162	0.122	0.417
CACM-2684	0.119	0.417
CACM-3097	0.116	0.417
CACM-1262	0.114	0.417
CACM-2341	0.111	0.417
CACM-1469	0.109	0.417
CACM-1902	0.106	0.417
CACM-3066	0.104	0.417
CACM-1589	0.102	0.417
CACM-1180	0.1	0.417
CACM-2314	0.098	0.417
CACM-1625	0.096	0.417
CACM-1112	0.094	0.417
CACM-1602	0.093	0.417
CACM-3171	0.091	0.417
CACM-1703	0.089	0.417
CACM-3198	0.088	0.417
CACM-1835	0.086	0.417
CACM-1474	0.085	0.417
CACM-3173	0.083	0.417
CACM-2527	0.082	0.417
CACM-1390	0.081	0.417
CACM-3013	0.079	0.417
CACM-1282	0.078	0.417
CACM-2152	0.077	0.417
CACM-2876	0.076	0.417
CACM-2898	0.075	0.417
CACM-2389	0.074	0.417
CACM-3002	0.072	0.417
CACM-2289	0.071	0.417
CACM-2320	0.07	0.417
CACM-1930	0.069	0.417
CACM-1379	0.068	0.417
CACM-1853	0.068	0.417
CACM-2886	0.067	0.417
CACM-0670	0.066	0.417
CACM-3125	0.065	0.417
CACM-2851	0.064	0.417
CACM-1154	0.063	0.417
CACM-1856	0.062	0.417
CACM-2081	0.062	0.417
CACM-2893	0.061	0.417
CACM-2864	0.06	0.417
CACM-2941	0.071	0.5
CACM-3116	0.071	0.5
CACM-2950	0.07	0.5
CACM-2198	0.069	0.5
CACM-1626	0.068	0.5
CACM-2299	0.067	0.5
CACM-2627	0.067	0.5
CACM-1408	0.066	0.5
CACM-1253	0.065	0.5
CACM-2897	0.065	0.5
CACM-3071	0.064	0.5
CACM-1543	0.063	0.5
CACM-1206	0.062	0.5
CACM-2810	0.062	0.5
CACM-1135	0.061	0.5
CACM-0655	0.061	0.5
CACM-2406	0.06	0.5
