Doc_name	Precision	Recall
CACM-2849	0.0		0.0
CACM-2949	0.0		0.0
CACM-2578	0.0		0.0
CACM-2372	0.25		0.111
CACM-3068	0.4		0.222
CACM-1745	0.333		0.222
CACM-2951	0.286		0.222
CACM-3137	0.25		0.222
CACM-3174	0.222		0.222
CACM-3082	0.2		0.222
CACM-2621	0.182		0.222
CACM-3076	0.167		0.222
CACM-2371	0.154		0.222
CACM-1695	0.143		0.222
CACM-2776	0.133		0.222
CACM-1750	0.125		0.222
CACM-3141	0.118		0.222
CACM-2969	0.111		0.222
CACM-3158	0.158		0.333
CACM-1928	0.15		0.333
CACM-1747	0.143		0.333
CACM-3128	0.182		0.444
CACM-1685	0.174		0.444
CACM-3127	0.167		0.444
CACM-2046	0.16		0.444
CACM-2424	0.154		0.444
CACM-1808	0.148		0.444
CACM-2900	0.143		0.444
CACM-2622	0.138		0.444
CACM-1461	0.133		0.444
CACM-1846	0.129		0.444
CACM-2870	0.156		0.556
CACM-3011	0.152		0.556
CACM-2358	0.147		0.556
CACM-2197	0.143		0.556
CACM-1261	0.139		0.556
CACM-3043	0.135		0.556
CACM-2137	0.132		0.556
CACM-3148	0.128		0.556
CACM-2988	0.125		0.556
CACM-0046	0.122		0.556
CACM-3023	0.119		0.556
CACM-2632	0.14		0.667
CACM-2614	0.136		0.667
CACM-3133	0.133		0.667
CACM-1032	0.13		0.667
CACM-2890	0.128		0.667
CACM-3111	0.146		0.778
CACM-3038	0.143		0.778
CACM-1844	0.14		0.778
CACM-2515	0.137		0.778
CACM-1723	0.135		0.778
CACM-0322	0.132		0.778
CACM-3177	0.148		0.889
CACM-1978	0.145		0.889
CACM-2069	0.143		0.889
CACM-2198	0.14		0.889
CACM-3181	0.138		0.889
CACM-3025	0.136		0.889
CACM-2948	0.133		0.889
CACM-3182	0.131		0.889
CACM-3040	0.129		0.889
CACM-2522	0.127		0.889
CACM-2188	0.125		0.889
CACM-2581	0.123		0.889
CACM-1290	0.121		0.889
CACM-2454	0.119		0.889
CACM-1226	0.118		0.889
CACM-1680	0.116		0.889
CACM-1652	0.114		0.889
CACM-2947	0.113		0.889
CACM-0828	0.111		0.889
CACM-1811	0.11		0.889
CACM-3032	0.108		0.889
CACM-2406	0.107		0.889
CACM-1247	0.105		0.889
CACM-2950	0.104		0.889
CACM-3059	0.103		0.889
CACM-3070	0.101		0.889
CACM-1923	0.1		0.889
CACM-2624	0.099		0.889
CACM-3026	0.098		0.889
CACM-3021	0.096		0.889
CACM-1664	0.095		0.889
CACM-2138	0.094		0.889
CACM-2151	0.093		0.889
CACM-1462	0.092		0.889
CACM-2741	0.091		0.889
CACM-2892	0.09		0.889
CACM-2111	0.089		0.889
CACM-2470	0.088		0.889
CACM-2876	0.098		1.0
CACM-2840	0.097		1.0
CACM-1611	0.096		1.0
CACM-0441	0.095		1.0
CACM-2712	0.094		1.0
CACM-2036	0.093		1.0
CACM-3028	0.092		1.0
CACM-1324	0.091		1.0
CACM-1951	0.09		1.0
