Doc_name	Precision	Recall
CACM-3132	0.0		0.0
CACM-3131	0.0		0.0
CACM-3164	0.0		0.0
CACM-2674	0.0		0.0
CACM-2679	0.2		0.023
CACM-3017	0.167		0.023
CACM-3058	0.143		0.023
CACM-2964	0.125		0.023
CACM-2976	0.111		0.023
CACM-2716	0.2		0.045
CACM-2215	0.182		0.045
CACM-2819	0.167		0.045
CACM-3037	0.154		0.045
CACM-2348	0.214		0.068
CACM-3112	0.2		0.068
CACM-3087	0.188		0.068
CACM-2890	0.176		0.068
CACM-3057	0.167		0.068
CACM-0132	0.158		0.068
CACM-0662	0.15		0.068
CACM-0701	0.143		0.068
CACM-0841	0.136		0.068
CACM-2397	0.174		0.091
CACM-2289	0.167		0.091
CACM-2563	0.2		0.114
CACM-1752	0.192		0.114
CACM-2816	0.185		0.114
CACM-2174	0.179		0.114
CACM-2263	0.172		0.114
CACM-1886	0.167		0.114
CACM-2863	0.161		0.114
CACM-1191	0.156		0.114
CACM-2577	0.152		0.114
CACM-0507	0.147		0.114
CACM-2900	0.143		0.114
CACM-3067	0.139		0.114
CACM-0776	0.135		0.114
CACM-3085	0.132		0.114
CACM-0853	0.128		0.114
CACM-3075	0.15		0.136
CACM-2484	0.146		0.136
CACM-0307	0.143		0.136
CACM-1873	0.14		0.136
CACM-3033	0.136		0.136
CACM-3156	0.133		0.136
CACM-1961	0.13		0.136
CACM-2797	0.128		0.136
CACM-2586	0.125		0.136
CACM-2902	0.122		0.136
CACM-2142	0.12		0.136
CACM-2973	0.118		0.136
CACM-3032	0.115		0.136
CACM-2495	0.113		0.136
CACM-2181	0.111		0.136
CACM-0857	0.109		0.136
CACM-2750	0.107		0.136
CACM-3011	0.105		0.136
CACM-1412	0.103		0.136
CACM-2689	0.102		0.136
CACM-0049	0.1		0.136
CACM-0862	0.098		0.136
CACM-2583	0.097		0.136
CACM-2069	0.095		0.136
CACM-2997	0.094		0.136
CACM-1831	0.092		0.136
CACM-2812	0.091		0.136
CACM-2627	0.09		0.136
CACM-2959	0.088		0.136
CACM-2957	0.087		0.136
CACM-0371	0.086		0.136
CACM-1796	0.085		0.136
CACM-2337	0.097		0.159
CACM-1724	0.11		0.182
CACM-2324	0.108		0.182
CACM-0457	0.107		0.182
CACM-2257	0.105		0.182
CACM-2944	0.104		0.182
CACM-2146	0.115		0.205
CACM-2345	0.114		0.205
CACM-2007	0.113		0.205
CACM-3177	0.111		0.205
CACM-3151	0.11		0.205
CACM-2856	0.108		0.205
CACM-1342	0.107		0.205
CACM-1660	0.106		0.205
CACM-1952	0.105		0.205
CACM-0270	0.103		0.205
CACM-1999	0.102		0.205
CACM-0860	0.101		0.205
CACM-2450	0.1		0.205
CACM-2924	0.099		0.205
CACM-2830	0.098		0.205
CACM-1953	0.097		0.205
CACM-2748	0.096		0.205
CACM-3163	0.095		0.205
CACM-0856	0.094		0.205
CACM-2272	0.103		0.227
CACM-2691	0.102		0.227
CACM-2834	0.101		0.227
CACM-1197	0.1		0.227
