Doc_name	Precision	Recall
CACM-2711	1.0		0.032
CACM-3134	1.0		0.065
CACM-1976	1.0		0.097
CACM-2451	1.0		0.129
CACM-2033	0.8		0.129
CACM-2882	0.667		0.129
CACM-2437	0.571		0.129
CACM-3129	0.5		0.129
CACM-1699	0.444		0.129
CACM-2307	0.5		0.161
CACM-2233	0.455		0.161
CACM-2160	0.5		0.194
CACM-2990	0.538		0.226
CACM-2746	0.5		0.226
CACM-1236	0.533		0.258
CACM-1725	0.5		0.258
CACM-1700	0.471		0.258
CACM-2883	0.444		0.258
CACM-1457	0.474		0.29
CACM-2916	0.45		0.29
CACM-2631	0.476		0.323
CACM-2114	0.455		0.323
CACM-2002	0.435		0.323
CACM-1936	0.417		0.323
CACM-0397	0.4		0.323
CACM-1194	0.385		0.323
CACM-2288	0.37		0.323
CACM-2722	0.357		0.323
CACM-1665	0.345		0.323
CACM-1470	0.333		0.323
CACM-3002	0.323		0.323
CACM-3041	0.312		0.323
CACM-1856	0.303		0.323
CACM-2484	0.294		0.323
CACM-2018	0.286		0.323
CACM-2109	0.278		0.323
CACM-2862	0.27		0.323
CACM-2494	0.263		0.323
CACM-1681	0.256		0.323
CACM-2188	0.25		0.323
CACM-2851	0.244		0.323
CACM-2991	0.238		0.323
CACM-2978	0.233		0.323
CACM-2931	0.227		0.323
CACM-2846	0.222		0.323
CACM-2344	0.217		0.323
CACM-1927	0.234		0.355
CACM-2140	0.229		0.355
CACM-2561	0.224		0.355
CACM-1641	0.22		0.355
CACM-3033	0.216		0.355
CACM-1032	0.231		0.387
CACM-3072	0.226		0.387
CACM-2753	0.222		0.387
CACM-1705	0.218		0.387
CACM-2870	0.214		0.387
CACM-2358	0.211		0.387
CACM-1527	0.207		0.387
CACM-2402	0.203		0.387
CACM-2046	0.2		0.387
CACM-0944	0.197		0.387
CACM-0849	0.194		0.387
CACM-2194	0.19		0.387
CACM-3138	0.188		0.387
CACM-1307	0.185		0.387
CACM-1916	0.182		0.387
CACM-1517	0.179		0.387
CACM-1650	0.176		0.387
CACM-1886	0.174		0.387
CACM-2598	0.171		0.387
CACM-2245	0.169		0.387
CACM-1652	0.167		0.387
CACM-2359	0.164		0.387
CACM-2828	0.162		0.387
CACM-1935	0.16		0.387
CACM-2516	0.158		0.387
CACM-3047	0.156		0.387
CACM-2947	0.154		0.387
CACM-2765	0.165		0.419
CACM-2669	0.163		0.419
CACM-3084	0.16		0.419
CACM-3012	0.171		0.452
CACM-1408	0.169		0.452
CACM-1135	0.167		0.452
CACM-0616	0.165		0.452
CACM-2251	0.163		0.452
CACM-3077	0.161		0.452
CACM-0670	0.159		0.452
CACM-2859	0.157		0.452
CACM-0972	0.156		0.452
CACM-2998	0.154		0.452
CACM-3048	0.152		0.452
CACM-2680	0.151		0.452
CACM-2396	0.149		0.452
CACM-2421	0.147		0.452
CACM-2922	0.146		0.452
CACM-2646	0.144		0.452
CACM-3114	0.143		0.452
CACM-2289	0.141		0.452
CACM-2572	0.14		0.452
