Doc_name	Precision	Recall
CACM-3127	0.0	0.0
CACM-1930	0.0	0.0
CACM-2319	0.0	0.0
CACM-1680	0.0	0.0
CACM-2740	0.0	0.0
CACM-1591	0.0	0.0
CACM-2424	0.0	0.0
CACM-2317	0.0	0.0
CACM-2379	0.0	0.0
CACM-1844	0.0	0.0
CACM-3087	0.0	0.0
CACM-1033	0.0	0.0
CACM-2188	0.0	0.0
CACM-1264	0.0	0.0
CACM-2372	0.0	0.0
CACM-2629	0.0	0.0
CACM-1747	0.0	0.0
CACM-2542	0.0	0.0
CACM-2092	0.0	0.0
CACM-2378	0.0	0.0
CACM-3068	0.0	0.0
CACM-1719	0.0	0.0
CACM-2344	0.0	0.0
CACM-2812	0.0	0.0
CACM-1108	0.0	0.0
CACM-2153	0.0	0.0
CACM-2358	0.037	0.2
CACM-2840	0.036	0.2
CACM-1938	0.034	0.2
CACM-2246	0.033	0.2
CACM-0972	0.032	0.2
CACM-1236	0.031	0.2
CACM-1728	0.03	0.2
CACM-2357	0.029	0.2
CACM-2632	0.029	0.2
CACM-2868	0.028	0.2
CACM-2920	0.027	0.2
CACM-1334	0.026	0.2
CACM-2955	0.026	0.2
CACM-1853	0.025	0.2
CACM-2798	0.024	0.2
CACM-1750	0.024	0.2
CACM-2105	0.023	0.2
CACM-2479	0.023	0.2
CACM-2541	0.022	0.2
CACM-2741	0.022	0.2
CACM-3089	0.021	0.2
CACM-1534	0.021	0.2
CACM-2064	0.02	0.2
CACM-2597	0.02	0.2
CACM-1885	0.02	0.2
CACM-1959	0.019	0.2
CACM-2311	0.019	0.2
CACM-2314	0.019	0.2
CACM-0585	0.018	0.2
CACM-1324	0.018	0.2
CACM-2065	0.018	0.2
CACM-2080	0.017	0.2
CACM-2777	0.017	0.2
CACM-0696	0.017	0.2
CACM-1170	0.016	0.2
CACM-1393	0.016	0.2
CACM-1657	0.016	0.2
CACM-1749	0.016	0.2
CACM-2138	0.015	0.2
CACM-2151	0.015	0.2
CACM-2380	0.015	0.2
CACM-2470	0.015	0.2
CACM-2535	0.014	0.2
CACM-2622	0.014	0.2
CACM-2624	0.014	0.2
CACM-3025	0.014	0.2
CACM-1572	0.027	0.4
CACM-2345	0.027	0.4
CACM-2948	0.027	0.4
CACM-2984	0.026	0.4
CACM-2985	0.026	0.4
CACM-3012	0.026	0.4
CACM-1462	0.025	0.4
CACM-1519	0.025	0.4
CACM-1924	0.025	0.4
CACM-2218	0.024	0.4
CACM-2867	0.024	0.4
CACM-2950	0.024	0.4
CACM-0103	0.024	0.4
CACM-2555	0.023	0.4
CACM-3196	0.023	0.4
CACM-1034	0.023	0.4
CACM-1194	0.022	0.4
CACM-1226	0.022	0.4
CACM-1647	0.022	0.4
CACM-1665	0.022	0.4
CACM-1748	0.022	0.4
CACM-1892	0.021	0.4
CACM-1912	0.021	0.4
CACM-2111	0.021	0.4
CACM-3023	0.021	0.4
CACM-3049	0.02	0.4
CACM-3050	0.02	0.4
CACM-3090	0.02	0.4
