Doc_name	Precision	Recall
CACM-2939	0.0	0.0
CACM-2626	0.0	0.0
CACM-2314	0.0	0.0
CACM-2377	0.0	0.0
CACM-1290	0.0	0.0
CACM-1922	0.0	0.0
CACM-3068	0.0	0.0
CACM-1476	0.0	0.0
CACM-1591	0.0	0.0
CACM-1747	0.0	0.0
CACM-2709	0.0	0.0
CACM-1844	0.0	0.0
CACM-1680	0.0	0.0
CACM-2870	0.0	0.0
CACM-2317	0.0	0.0
CACM-2319	0.0	0.0
CACM-2878	0.0	0.0
CACM-2438	0.0	0.0
CACM-2840	0.0	0.0
CACM-2632	0.05	0.033
CACM-1728	0.048	0.033
CACM-3128	0.091	0.067
CACM-2740	0.13	0.1
CACM-1750	0.125	0.1
CACM-2372	0.12	0.1
CACM-2876	0.115	0.1
CACM-2985	0.111	0.1
CACM-3154	0.107	0.1
CACM-2424	0.103	0.1
CACM-2198	0.1	0.1
CACM-2111	0.097	0.1
CACM-1677	0.094	0.1
CACM-2479	0.091	0.1
CACM-3105	0.088	0.1
CACM-3011	0.086	0.1
CACM-3077	0.083	0.1
CACM-2721	0.081	0.1
CACM-2358	0.079	0.1
CACM-2541	0.103	0.133
CACM-3150	0.1	0.133
CACM-2151	0.098	0.133
CACM-1462	0.095	0.133
CACM-2379	0.116	0.167
CACM-2882	0.114	0.167
CACM-3153	0.111	0.167
CACM-2138	0.109	0.167
CACM-1572	0.106	0.167
CACM-2020	0.104	0.167
CACM-2297	0.102	0.167
CACM-1959	0.1	0.167
CACM-2345	0.098	0.167
CACM-2812	0.096	0.167
CACM-0972	0.094	0.167
CACM-1387	0.093	0.167
CACM-1341	0.091	0.167
CACM-2852	0.089	0.167
CACM-2080	0.105	0.2
CACM-2320	0.121	0.233
CACM-2366	0.119	0.233
CACM-2826	0.117	0.233
CACM-3026	0.115	0.233
CACM-2888	0.113	0.233
CACM-3076	0.111	0.233
CACM-0104	0.109	0.233
CACM-2321	0.108	0.233
CACM-2567	0.106	0.233
CACM-2742	0.104	0.233
CACM-3025	0.103	0.233
CACM-0637	0.101	0.233
CACM-2378	0.1	0.233
CACM-3183	0.099	0.233
CACM-2936	0.097	0.233
CACM-1951	0.096	0.233
CACM-2522	0.095	0.233
CACM-2525	0.093	0.233
CACM-2867	0.092	0.233
CACM-2254	0.091	0.233
CACM-2940	0.09	0.233
CACM-3072	0.089	0.233
CACM-2342	0.1	0.267
CACM-2851	0.111	0.3
CACM-1928	0.11	0.3
CACM-2597	0.12	0.333
CACM-2629	0.119	0.333
CACM-3127	0.118	0.333
CACM-2622	0.116	0.333
CACM-1978	0.115	0.333
CACM-1751	0.114	0.333
CACM-2407	0.112	0.333
CACM-1665	0.111	0.333
CACM-2036	0.11	0.333
CACM-2767	0.109	0.333
CACM-1962	0.108	0.333
CACM-2184	0.106	0.333
CACM-1324	0.105	0.333
CACM-3157	0.104	0.333
CACM-1247	0.103	0.333
CACM-3028	0.102	0.333
CACM-2868	0.101	0.333
CACM-2920	0.1	0.333
