Doc_name	Precision	Recall
CACM-3134	0.0		0.0
CACM-2882	0.0		0.0
CACM-1699	0.0		0.0
CACM-2479	0.0		0.0
CACM-2990	0.0		0.0
CACM-2198	0.0		0.0
CACM-1844	0.0		0.0
CACM-1681	0.125		0.125
CACM-1747	0.111		0.125
CACM-1725	0.1		0.125
CACM-2812	0.091		0.125
CACM-1032	0.083		0.125
CACM-2288	0.077		0.125
CACM-1959	0.071		0.125
CACM-2358	0.067		0.125
CACM-2985	0.062		0.125
CACM-3077	0.059		0.125
CACM-1665	0.056		0.125
CACM-2852	0.053		0.125
CACM-3090	0.05		0.125
CACM-2345	0.048		0.125
CACM-3150	0.045		0.125
CACM-2314	0.043		0.125
CACM-1457	0.042		0.125
CACM-2163	0.04		0.125
CACM-1572	0.038		0.125
CACM-2160	0.037		0.125
CACM-2846	0.036		0.125
CACM-2870	0.034		0.125
CACM-2390	0.067		0.25
CACM-1976	0.065		0.25
CACM-0616	0.062		0.25
CACM-3076	0.061		0.25
CACM-1728	0.059		0.25
CACM-2916	0.057		0.25
CACM-3012	0.056		0.25
CACM-1003	0.054		0.25
CACM-2233	0.053		0.25
CACM-2372	0.051		0.25
CACM-2344	0.05		0.25
CACM-1856	0.049		0.25
CACM-3157	0.048		0.25
CACM-0637	0.047		0.25
CACM-2407	0.045		0.25
CACM-2046	0.044		0.25
CACM-2631	0.043		0.25
CACM-2795	0.064		0.375
CACM-1652	0.062		0.375
CACM-2931	0.061		0.375
CACM-1135	0.06		0.375
CACM-2572	0.059		0.375
CACM-1951	0.058		0.375
CACM-2092	0.057		0.375
CACM-2138	0.056		0.375
CACM-2002	0.055		0.375
CACM-2798	0.054		0.375
CACM-1387	0.053		0.375
CACM-2188	0.052		0.375
CACM-1267	0.051		0.375
CACM-2522	0.05		0.375
CACM-2402	0.049		0.375
CACM-3011	0.048		0.375
CACM-2181	0.048		0.375
CACM-2525	0.047		0.375
CACM-1527	0.046		0.375
CACM-2317	0.045		0.375
CACM-2307	0.045		0.375
CACM-1846	0.044		0.375
CACM-1745	0.043		0.375
CACM-2567	0.043		0.375
CACM-2127	0.056		0.5
CACM-2020	0.056		0.5
CACM-2342	0.055		0.5
CACM-2876	0.054		0.5
CACM-2106	0.053		0.5
CACM-1811	0.053		0.5
CACM-1727	0.052		0.5
CACM-2111	0.051		0.5
CACM-1194	0.051		0.5
CACM-2033	0.05		0.5
CACM-0891	0.049		0.5
CACM-1978	0.049		0.5
CACM-2697	0.048		0.5
CACM-1750	0.048		0.5
CACM-1415	0.047		0.5
CACM-1514	0.047		0.5
CACM-2598	0.046		0.5
CACM-2151	0.045		0.5
CACM-2451	0.045		0.5
CACM-1886	0.044		0.5
CACM-2061	0.044		0.5
CACM-1924	0.043		0.5
CACM-1236	0.043		0.5
CACM-1928	0.043		0.5
CACM-1066	0.042		0.5
CACM-1927	0.042		0.5
CACM-3142	0.041		0.5
CACM-2889	0.041		0.5
CACM-2625	0.04		0.5
CACM-1748	0.04		0.5
