['CACM-0001', 41]
['CACM-0002', 23]
['CACM-0003', 21]
['CACM-0004', 19]
['CACM-0005', 17]
['CACM-0006', 23]
['CACM-0007', 19]
['CACM-0008', 23]
['CACM-0009', 19]
['CACM-0010', 19]
['CACM-0011', 95]
['CACM-0012', 23]
['CACM-0013', 19]
['CACM-0014', 40]
['CACM-0015', 21]
['CACM-0016', 22]
['CACM-0017', 25]
['CACM-0018', 21]
['CACM-0019', 19]
['CACM-0020', 45]
['CACM-0021', 24]
['CACM-0022', 24]
['CACM-0023', 27]
['CACM-0024', 20]
['CACM-0025', 19]
['CACM-0026', 24]
['CACM-0027', 26]
['CACM-0028', 21]
['CACM-0029', 18]
['CACM-0030', 24]
['CACM-0031', 16]
['CACM-0032', 19]
['CACM-0033', 27]
['CACM-0034', 19]
['CACM-0035', 24]
['CACM-0036', 31]
['CACM-0037', 19]
['CACM-0038', 23]
['CACM-0039', 36]
['CACM-0040', 112]
['CACM-0041', 24]
['CACM-0042', 24]
['CACM-0043', 24]
['CACM-0044', 35]
['CACM-0045', 23]
['CACM-0046', 84]
['CACM-0047', 21]
['CACM-0048', 113]
['CACM-0049', 22]
['CACM-0050', 22]
['CACM-0051', 29]
['CACM-0052', 29]
['CACM-0053', 22]
['CACM-0054', 33]
['CACM-0055', 22]
['CACM-0056', 17]
['CACM-0057', 17]
['CACM-0058', 56]
['CACM-0059', 33]
['CACM-0060', 24]
['CACM-0061', 19]
['CACM-0062', 20]
['CACM-0063', 49]
['CACM-0064', 23]
['CACM-0065', 25]
['CACM-0066', 23]
['CACM-0067', 21]
['CACM-0068', 81]
['CACM-0069', 38]
['CACM-0070', 42]
['CACM-0071', 108]
['CACM-0072', 19]
['CACM-0073', 20]
['CACM-0074', 29]
['CACM-0075', 24]
['CACM-0076', 23]
['CACM-0077', 41]
['CACM-0078', 89]
['CACM-0079', 26]
['CACM-0080', 29]
['CACM-0081', 18]
['CACM-0082', 43]
['CACM-0083', 33]
['CACM-0084', 37]
['CACM-0085', 24]
['CACM-0086', 39]
['CACM-0087', 30]
['CACM-0088', 36]
['CACM-0089', 31]
['CACM-0090', 29]
['CACM-0091', 27]
['CACM-0092', 71]
['CACM-0093', 39]
['CACM-0094', 37]
['CACM-0095', 79]
['CACM-0096', 70]
['CACM-0097', 30]
['CACM-0098', 30]
['CACM-0099', 21]
['CACM-0100', 39]
['CACM-0101', 19]
['CACM-0102', 25]
['CACM-0103', 87]
['CACM-0104', 88]
['CACM-0105', 27]
['CACM-0106', 131]
['CACM-0107', 29]
['CACM-0108', 25]
['CACM-0109', 19]
['CACM-0110', 17]
['CACM-0111', 65]
['CACM-0112', 23]
['CACM-0113', 20]
['CACM-0114', 23]
['CACM-0115', 18]
['CACM-0116', 71]
['CACM-0117', 24]
['CACM-0118', 21]
['CACM-0119', 19]
['CACM-0120', 25]
['CACM-0121', 21]
['CACM-0122', 26]
['CACM-0123', 168]
['CACM-0124', 51]
['CACM-0125', 21]
['CACM-0126', 23]
['CACM-0127', 17]
['CACM-0128', 19]
['CACM-0129', 21]
['CACM-0130', 22]
['CACM-0131', 21]
['CACM-0132', 18]
['CACM-0133', 23]
['CACM-0134', 28]
['CACM-0135', 19]
['CACM-0136', 22]
['CACM-0137', 23]
['CACM-0138', 24]
['CACM-0139', 18]
['CACM-0140', 64]
['CACM-0141', 20]
['CACM-0142', 31]
['CACM-0143', 28]
['CACM-0144', 99]
['CACM-0145', 23]
['CACM-0146', 61]
['CACM-0147', 21]
['CACM-0148', 19]
['CACM-0149', 33]
['CACM-0150', 22]
['CACM-0151', 19]
['CACM-0152', 27]
['CACM-0153', 22]
['CACM-0154', 20]
['CACM-0155', 21]
['CACM-0156', 24]
['CACM-0157', 20]
['CACM-0158', 20]
['CACM-0159', 19]
['CACM-0160', 20]
['CACM-0161', 21]
['CACM-0162', 27]
['CACM-0163', 27]
['CACM-0164', 33]
['CACM-0165', 26]
['CACM-0166', 25]
['CACM-0167', 21]
['CACM-0168', 33]
['CACM-0169', 19]
['CACM-0170', 23]
['CACM-0171', 21]
['CACM-0172', 19]
['CACM-0173', 20]
['CACM-0174', 29]
['CACM-0175', 30]
['CACM-0176', 23]
['CACM-0177', 30]
['CACM-0178', 22]
['CACM-0179', 24]
['CACM-0180', 24]
['CACM-0181', 24]
['CACM-0182', 24]
['CACM-0183', 19]
['CACM-0184', 28]
['CACM-0185', 104]
['CACM-0186', 22]
['CACM-0187', 17]
['CACM-0188', 24]
['CACM-0189', 20]
['CACM-0190', 15]
['CACM-0191', 20]
['CACM-0192', 29]
['CACM-0193', 21]
['CACM-0194', 22]
['CACM-0195', 19]
['CACM-0196', 140]
['CACM-0197', 19]
['CACM-0198', 21]
['CACM-0199', 17]
['CACM-0200', 22]
['CACM-0201', 21]
['CACM-0202', 74]
['CACM-0203', 30]
['CACM-0204', 22]
['CACM-0205', 128]
['CACM-0206', 24]
['CACM-0207', 27]
['CACM-0208', 28]
['CACM-0209', 38]
['CACM-0210', 104]
['CACM-0211', 18]
['CACM-0212', 16]
['CACM-0213', 19]
['CACM-0214', 34]
['CACM-0215', 24]
['CACM-0216', 23]
['CACM-0217', 18]
['CACM-0218', 20]
['CACM-0219', 17]
['CACM-0220', 25]
['CACM-0221', 23]
['CACM-0222', 56]
['CACM-0223', 17]
['CACM-0224', 160]
['CACM-0225', 21]
['CACM-0226', 23]
['CACM-0227', 17]
['CACM-0228', 18]
['CACM-0229', 17]
['CACM-0230', 23]
['CACM-0231', 26]
['CACM-0232', 26]
['CACM-0233', 20]
['CACM-0234', 21]
['CACM-0235', 18]
['CACM-0236', 52]
['CACM-0237', 19]
['CACM-0238', 27]
['CACM-0239', 27]
['CACM-0240', 25]
['CACM-0241', 70]
['CACM-0242', 55]
['CACM-0243', 104]
['CACM-0244', 20]
['CACM-0245', 30]
['CACM-0246', 22]
