['CACM-0001', 46]
['CACM-0002', 23]
['CACM-0003', 21]
['CACM-0004', 20]
['CACM-0005', 19]
['CACM-0006', 22]
['CACM-0007', 20]
['CACM-0008', 23]
['CACM-0009', 20]
['CACM-0010', 20]
['CACM-0011', 97]
['CACM-0012', 24]
['CACM-0013', 20]
['CACM-0014', 41]
['CACM-0015', 23]
['CACM-0016', 23]
['CACM-0017', 26]
['CACM-0018', 21]
['CACM-0019', 20]
['CACM-0020', 43]
['CACM-0021', 26]
['CACM-0022', 25]
['CACM-0023', 28]
['CACM-0024', 21]
['CACM-0025', 20]
['CACM-0026', 24]
['CACM-0027', 26]
['CACM-0028', 21]
['CACM-0029', 19]
['CACM-0030', 24]
['CACM-0031', 18]
['CACM-0032', 20]
['CACM-0033', 27]
['CACM-0034', 20]
['CACM-0035', 24]
['CACM-0036', 29]
['CACM-0037', 20]
['CACM-0038', 23]
['CACM-0039', 38]
['CACM-0040', 113]
['CACM-0041', 24]
['CACM-0042', 24]
['CACM-0043', 24]
['CACM-0044', 39]
['CACM-0045', 23]
['CACM-0046', 84]
['CACM-0047', 22]
['CACM-0048', 110]
['CACM-0049', 21]
['CACM-0050', 23]
['CACM-0051', 30]
['CACM-0052', 28]
['CACM-0053', 23]
['CACM-0054', 32]
['CACM-0055', 24]
['CACM-0056', 18]
['CACM-0057', 18]
['CACM-0058', 57]
['CACM-0059', 35]
['CACM-0060', 24]
['CACM-0061', 20]
['CACM-0062', 21]
['CACM-0063', 52]
['CACM-0064', 24]
['CACM-0065', 27]
['CACM-0066', 23]
['CACM-0067', 22]
['CACM-0068', 77]
['CACM-0069', 38]
['CACM-0070', 43]
['CACM-0071', 104]
['CACM-0072', 20]
['CACM-0073', 21]
['CACM-0074', 34]
['CACM-0075', 25]
['CACM-0076', 23]
['CACM-0077', 44]
['CACM-0078', 87]
['CACM-0079', 26]
['CACM-0080', 28]
['CACM-0081', 20]
['CACM-0082', 44]
['CACM-0083', 33]
['CACM-0084', 38]
['CACM-0085', 23]
['CACM-0086', 39]
['CACM-0087', 34]
['CACM-0088', 37]
['CACM-0089', 30]
['CACM-0090', 29]
['CACM-0091', 28]
['CACM-0092', 70]
['CACM-0093', 39]
['CACM-0094', 38]
['CACM-0095', 76]
['CACM-0096', 66]
['CACM-0097', 29]
['CACM-0098', 31]
['CACM-0099', 20]
['CACM-0100', 41]
['CACM-0101', 20]
['CACM-0102', 26]
['CACM-0103', 86]
['CACM-0104', 84]
['CACM-0105', 27]
['CACM-0106', 140]
['CACM-0107', 33]
['CACM-0108', 25]
['CACM-0109', 21]
['CACM-0110', 18]
['CACM-0111', 68]
['CACM-0112', 23]
['CACM-0113', 21]
['CACM-0114', 23]
['CACM-0115', 19]
['CACM-0116', 73]
['CACM-0117', 24]
['CACM-0118', 21]
['CACM-0119', 20]
['CACM-0120', 25]
['CACM-0121', 23]
['CACM-0122', 27]
['CACM-0123', 170]
['CACM-0124', 52]
['CACM-0125', 23]
['CACM-0126', 23]
['CACM-0127', 18]
['CACM-0128', 20]
['CACM-0129', 20]
['CACM-0130', 21]
['CACM-0131', 21]
['CACM-0132', 19]
['CACM-0133', 24]
['CACM-0134', 30]
['CACM-0135', 21]
['CACM-0136', 21]
['CACM-0137', 23]
['CACM-0138', 24]
['CACM-0139', 20]
['CACM-0140', 67]
['CACM-0141', 21]
['CACM-0142', 35]
['CACM-0143', 30]
['CACM-0144', 100]
['CACM-0145', 25]
['CACM-0146', 62]
['CACM-0147', 21]
['CACM-0148', 21]
['CACM-0149', 32]
['CACM-0150', 21]
['CACM-0151', 20]
['CACM-0152', 29]
['CACM-0153', 24]
['CACM-0154', 21]
['CACM-0155', 23]
['CACM-0156', 24]
['CACM-0157', 21]
['CACM-0158', 21]
['CACM-0159', 20]
['CACM-0160', 21]
['CACM-0161', 21]
['CACM-0162', 32]
['CACM-0163', 30]
['CACM-0164', 33]
['CACM-0165', 29]
['CACM-0166', 25]
['CACM-0167', 21]
['CACM-0168', 35]
['CACM-0169', 20]
['CACM-0170', 23]
['CACM-0171', 20]
['CACM-0172', 20]
['CACM-0173', 21]
['CACM-0174', 29]
['CACM-0175', 30]
['CACM-0176', 23]
['CACM-0177', 29]
['CACM-0178', 24]
['CACM-0179', 25]
['CACM-0180', 25]
['CACM-0181', 25]
['CACM-0182', 25]
['CACM-0183', 20]
['CACM-0184', 29]
['CACM-0185', 100]
['CACM-0186', 21]
['CACM-0187', 18]
['CACM-0188', 24]
['CACM-0189', 21]
['CACM-0190', 17]
['CACM-0191', 21]
['CACM-0192', 32]
['CACM-0193', 21]
['CACM-0194', 20]
['CACM-0195', 20]
['CACM-0196', 160]
['CACM-0197', 20]
['CACM-0198', 21]
['CACM-0199', 18]
['CACM-0200', 21]
['CACM-0201', 20]
['CACM-0202', 72]
['CACM-0203', 31]
['CACM-0204', 23]
['CACM-0205', 129]
['CACM-0206', 27]
['CACM-0207', 29]
['CACM-0208', 29]
['CACM-0209', 40]
['CACM-0210', 116]
['CACM-0211', 19]
['CACM-0212', 18]
['CACM-0213', 20]
['CACM-0214', 36]
['CACM-0215', 26]
['CACM-0216', 23]
['CACM-0217', 22]
['CACM-0218', 20]
['CACM-0219', 19]
['CACM-0220', 25]
['CACM-0221', 23]
['CACM-0222', 59]
['CACM-0223', 18]
['CACM-0224', 168]
['CACM-0225', 21]
['CACM-0226', 24]
['CACM-0227', 17]
['CACM-0228', 19]
['CACM-0229', 18]
['CACM-0230', 23]
['CACM-0231', 26]
['CACM-0232', 30]
['CACM-0233', 21]
['CACM-0234', 22]
['CACM-0235', 19]
['CACM-0236', 52]
['CACM-0237', 21]
['CACM-0238', 31]
['CACM-0239', 27]
['CACM-0240', 25]
['CACM-0241', 72]
['CACM-0242', 52]
['CACM-0243', 100]
['CACM-0244', 21]
['CACM-0245', 31]
['CACM-0246', 23]
