['CACM-0001', 39]
['CACM-0002', 19]
['CACM-0003', 18]
['CACM-0004', 17]
['CACM-0005', 14]
['CACM-0006', 17]
['CACM-0007', 17]
['CACM-0008', 17]
['CACM-0009', 15]
['CACM-0010', 17]
['CACM-0011', 88]
['CACM-0012', 18]
['CACM-0013', 17]
['CACM-0014', 33]
['CACM-0015', 20]
['CACM-0016', 19]
['CACM-0017', 21]
['CACM-0018', 18]
['CACM-0019', 17]
['CACM-0020', 30]
['CACM-0021', 21]
['CACM-0022', 19]
['CACM-0023', 19]
['CACM-0024', 16]
['CACM-0025', 16]
['CACM-0026', 19]
['CACM-0027', 19]
['CACM-0028', 16]
['CACM-0029', 15]
['CACM-0030', 20]
['CACM-0031', 15]
['CACM-0032', 17]
['CACM-0033', 21]
['CACM-0034', 16]
['CACM-0035', 20]
['CACM-0036', 22]
['CACM-0037', 16]
['CACM-0038', 17]
['CACM-0039', 28]
['CACM-0040', 77]
['CACM-0041', 20]
['CACM-0042', 18]
['CACM-0043', 20]
['CACM-0044', 31]
['CACM-0045', 20]
['CACM-0046', 61]
['CACM-0047', 17]
['CACM-0048', 82]
['CACM-0049', 19]
['CACM-0050', 18]
['CACM-0051', 21]
['CACM-0052', 23]
['CACM-0053', 20]
['CACM-0054', 25]
['CACM-0055', 20]
['CACM-0056', 17]
['CACM-0057', 14]
['CACM-0058', 45]
['CACM-0059', 27]
['CACM-0060', 19]
['CACM-0061', 17]
['CACM-0062', 18]
['CACM-0063', 37]
['CACM-0064', 20]
['CACM-0065', 20]
['CACM-0066', 19]
['CACM-0067', 19]
['CACM-0068', 60]
['CACM-0069', 23]
['CACM-0070', 30]
['CACM-0071', 71]
['CACM-0072', 16]
['CACM-0073', 17]
['CACM-0074', 26]
['CACM-0075', 21]
['CACM-0076', 19]
['CACM-0077', 35]
['CACM-0078', 59]
['CACM-0079', 21]
['CACM-0080', 22]
['CACM-0081', 16]
['CACM-0082', 33]
['CACM-0083', 27]
['CACM-0084', 29]
['CACM-0085', 20]
['CACM-0086', 32]
['CACM-0087', 25]
['CACM-0088', 27]
['CACM-0089', 22]
['CACM-0090', 24]
['CACM-0091', 23]
['CACM-0092', 47]
['CACM-0093', 30]
['CACM-0094', 26]
['CACM-0095', 47]
['CACM-0096', 52]
['CACM-0097', 24]
['CACM-0098', 26]
['CACM-0099', 17]
['CACM-0100', 36]
['CACM-0101', 17]
['CACM-0102', 19]
['CACM-0103', 58]
['CACM-0104', 63]
['CACM-0105', 19]
['CACM-0106', 102]
['CACM-0107', 25]
['CACM-0108', 21]
['CACM-0109', 15]
['CACM-0110', 15]
['CACM-0111', 48]
['CACM-0112', 19]
['CACM-0113', 17]
['CACM-0114', 18]
['CACM-0115', 15]
['CACM-0116', 46]
['CACM-0117', 19]
['CACM-0118', 17]
['CACM-0119', 16]
['CACM-0120', 21]
['CACM-0121', 18]
['CACM-0122', 20]
['CACM-0123', 148]
['CACM-0124', 37]
['CACM-0125', 19]
['CACM-0126', 19]
['CACM-0127', 16]
['CACM-0128', 17]
['CACM-0129', 18]
['CACM-0130', 19]
['CACM-0131', 19]
['CACM-0132', 17]
['CACM-0133', 18]
['CACM-0134', 24]
['CACM-0135', 16]
['CACM-0136', 16]
['CACM-0137', 19]
['CACM-0138', 19]
['CACM-0139', 17]
['CACM-0140', 61]
['CACM-0141', 16]
['CACM-0142', 25]
['CACM-0143', 23]
['CACM-0144', 70]
['CACM-0145', 21]
['CACM-0146', 45]
['CACM-0147', 18]
['CACM-0148', 16]
['CACM-0149', 24]
['CACM-0150', 19]
['CACM-0151', 17]
['CACM-0152', 24]
['CACM-0153', 18]
['CACM-0154', 17]
['CACM-0155', 20]
['CACM-0156', 18]
['CACM-0157', 17]
['CACM-0158', 18]
['CACM-0159', 17]
['CACM-0160', 18]
['CACM-0161', 18]
['CACM-0162', 23]
['CACM-0163', 23]
['CACM-0164', 29]
['CACM-0165', 22]
['CACM-0166', 20]
['CACM-0167', 19]
['CACM-0168', 30]
['CACM-0169', 16]
['CACM-0170', 18]
['CACM-0171', 17]
['CACM-0172', 18]
['CACM-0173', 17]
['CACM-0174', 21]
['CACM-0175', 24]
['CACM-0176', 19]
['CACM-0177', 25]
['CACM-0178', 20]
['CACM-0179', 19]
['CACM-0180', 19]
['CACM-0181', 19]
['CACM-0182', 19]
['CACM-0183', 17]
['CACM-0184', 21]
['CACM-0185', 75]
['CACM-0186', 19]
['CACM-0187', 15]
['CACM-0188', 19]
['CACM-0189', 16]
['CACM-0190', 14]
['CACM-0191', 16]
['CACM-0192', 23]
['CACM-0193', 16]
['CACM-0194', 18]
['CACM-0195', 13]
['CACM-0196', 135]
['CACM-0197', 16]
['CACM-0198', 18]
['CACM-0199', 16]
['CACM-0200', 19]
['CACM-0201', 18]
['CACM-0202', 49]
['CACM-0203', 20]
['CACM-0204', 19]
['CACM-0205', 115]
['CACM-0206', 22]
['CACM-0207', 23]
['CACM-0208', 22]
['CACM-0209', 34]
['CACM-0210', 98]
['CACM-0211', 17]
['CACM-0212', 16]
['CACM-0213', 16]
